NAME,YEAR_EST,UNIQUE_ID_ROUND____STATE____ACC,TYPE,SITE_TYPE,FACILITY_TYPE,PROGRAM_TYPE,LAT,LNG,ADDRESS1,CITY,REGION,STATE,ZIP,COUNTY,ADDITIONAL_LOCATION_INFO,CONGRESSIONAL_DISTRICT,RELIGION,RACE,URL,VISITOR_PHONE,VISITOR_INFO_EMAIL,OPEN,COUNTRY,NPS_UNIT,PARK_NAME,PARK_CODE,NATIONAL_HISTORIC_ID,NPS_REGION,ASSOCIATED_PEOPLE,ASSOCIATED_ORGANIZATIONS,FREEDOM_SEEKERS,UGRROPS,Stamps,ABSTRACT
Camp Greene and Contraband Camp,2005,10DC01,Site,"Military Site,Archaeological Site",,,38.897327,-77.064056,Theodore Roosevelt Island,Washington,National Capital,DC,22101,Washington D.C.,Accessible from VA,0,,,N/A,No,No,Yes,USA,Yes,George Washington Memorial Parkway,GEWA,,National Capital,Contraband,,,,No,"The island is significant to the UGRR because Mason's Island, known now as Theodore Roosevelt Island, was originally called Analostan Island and is administered by the National Park Service. It is located at the fall line on the Potomac River. The river flows to either side of the island in two channels. Theodore Roosevelt Island is located within the District of Columbia. The island is part of the George Washington Memorial Parkway, a national parkway that extends almost 40 miles along the river, from Mt. Vernon to Great Falls Park. On New Years Day, 1863 President Lincoln signed the Emancipation Proclamation which not only freed slaves in rebellious states but also opened the door for formal enlistment of African-American troops in the army. The island was run on enslaved labor up through the Civil War, and is significant to the Underground Railroad because it was a site for contraband camps and, known as Camp Greene, a place for the United States Colored Troops to train. The government established ""contraband camps"" (for escaped bondsmen) becausethe influxcreated a demand for social services. The island was an encampment for the First USCT African-American Infantry in Washington, DC, between May-Sept 1863."
From Slavery to Freedom,2005,10DC02,Program,,,Tour,38.914708,-77.028137,African American Civil War Museum and Foundation,Washington,National Capital,DC,20009,Washington D.C.,,N/A,,,N/A,No,No,Yes,USA,No,,,,National Capital,Civil War,United States Colored Troops,"Garland White,Joshua Dunbar,William Gould,William Henry Singleton",,No,"The interpretive program, ""From Slavery to Freedom,"" has been presented at the African American Civil War Memorial Museum in Washington, DC, for the last two years. This program commemorates those African American freedom fighters that escaped from slavery and eventually enlisted in the Union Army. Soldiers who used the UGRR like Joshua Dunbar and Garland White, to escape to freedom are memorialized in the presentations. Others soldiers and sailors who escaped from slavery to join the fight for freedom such as William Gould and William Henry Singleton are also memorialized. Visitors are informed of the extraordinary efforts these men went through to achieve their freedom and American citizenship."
Illinois College--Beecher Hall (Chapel) and the site of the College Building (1832-1852),2005,10IL01,Site,"Station,Archaeological Site,Other",,,39.732503,-90.248802,1101 W. College Ave.,Jacksonville,Midwest,Illinois,62650,Morgan,,18,Congregational,,http://www.ic.edu/,No,No,Yes,USA,NO,,,,Midwest,,Illinois State Antislavery Society,,"Edward Beecher,Professor Jonathan Baldwin Turner,Samuel Willard",No,"Illinois College had close antislavery ties with the abolitionist and Underground Railroad movements from its inception. The College was founded in 1829 by local trustees and seven Yale graduates€all opposed to slavery. Its first president, Edward Beecher, and two College trustees helped organize the Illinois State Antislavery Society in 1837. Many of the early settlers in the region, however, had come from Border States and were pro-slavery. Despite this hostile environment, the College Staff and the majority of the students they influenced upheld strong antislavery principles. A few even acted to assist freedom seekers through the Underground Railroad. Some were arrested and all suffered threats and harassment. Professor Jonathan Baldwin Turner, a member of the Underground Railroad, helped guide three fleeing Negro women to safe haven from which they eventually reached freedom in Canada. Samuel Willard, an Illinois College student, was prosecuted and fined for attempting to free an escaping slave. Other students were the target of organized protests by pro-slavery advocates who were outraged by their participation in Underground Railroad activities. Early Illinois College, consisting of Beecher Hall and the former College Building, was clearly an academic center that motivated strong antislavery actions as well as beliefs."
Pettengill House,2005,10IL02,Site,Station,,,40.691776,-89.592258,201 SW Jefferson St,Peoria,Midwest,Illinois,61602,Peoria,,17,,,N/A,No,No,Yes,USA,No,,,,Midwest,,,,"Lucy Pettengill,Moses Pettengill",No,"The site in Peoria, Illinois being nominated for inclusion in The Underground Railroad Network To Freedom Program was the home site of abolitionists Moses Pettengill and his wire Lucy. The site is historically significant because or its association with Moses and Lucy who were prominent in the cause or rreedom in Peoria and Illinois. They were active in the anti-slavery movement and provided assistance to rreedom seekers on the Underground Railroad.

Moses was a founder and leader or the Peoria Anti-Slavery Society. Lucy was a rounder and leader or the Female Anti-Slavery Society of Peoria. They were also instrumental in the establishment and work of Illinois state anti-sla""ery societies. Moses was a conductor and the Pettengill home was a station of the Underground Railroad. They supported and-slavery missions to benefit freedmen. The site at the intersection or Liberty Street and Jefferson Avenue, which sen'ed as their residence from 1836 to 1862, is now part of the Peoria Civic Center.

"
Berry Farm,2005,10MD01,Site,Escape,,,38.802492,-76.996164,Oxon Cove Farm,Oxon Hill,National Capital,Maryland,20745,Prince George's,,4,,,N/A,No,No,Yes,USA,Yes,Oxon Cove,OXCO,,National Capital,"John Bayne (Owner),Thomas Berry (Owner)",,"Jacob Shaw,Samuel Tyler",,No,"At the confluence of the Potomac and Anacostia Rivers in Prince George's County, Maryland, the Berry family cultivated crops on land purchased from the Addisons and the DeButts. Regardless of ownership, the back-breaking labor was done by enslaved workers. The Berry Farm (1308 acres) is gone, but the Berry fields still exist as part of Oxon Cove Park (234 acres) operated by the National Park Service. NPS was given responsibility for the area in 1967 and has operated a demonstration farm to educate the public. Wherever slavery exists, there will also be attempted flights to freedom. On the Berry farm, at least one person is known to have escaped. On December 5, 1840, Thomas Berry place an advertisement in the Daily National Intelligencer requesting information and/or the return of an enslaved person named Jacob Shaw. A second ad was placed by John Bayne (a neighboring farmer) seeking the return of Samuel Tyler, also an enslaved person who had fled at the same time as Shaw. Probably Shaw and Tyler fled together. Whether these men returned to slavery is not known. Given the location on the border of the District of Columbia, it was possible to escape and find shelter in the free black community of Washington, DC."
Rockland,2005,10MD02,Site,Escape,,,39.560443,-77.732873,9030 Sharpsburg Pike,Fairplay,National Capital,Maryland,21733,Washington,,6,,,N/A,No,No,No,USA,No,,,,National Capital,,,"James Pennington,Jim Pembroke",,No,"Jim Pembroke's story, ""The Fugitive Blacksmith,"" is one of the great slave narratives of American history. His autobiography has been called one of the ten most important slave narratives. In his narrative Pennington describes his early life on the Rockland estate and his escape from slavery in Maryland. Published in 1849, it went through three editions in eleven months, selling over 6000 copies. After his escape from his owner's Rockland estate in Washington Co., MD, at age 21, Pembroke changed his name to James William Charles Pennington, and, against all odds, became one of the most distinguished and respected nineteenth-century African American leaders. He became a minister in Presbyterian churches in New York and Hartford, was elected a delegate to several international abolition conventions, wrote one of the first histories of Africans in Americain 1841, lectured widely, led the struggle to desegregate New York City's public transit system, fought for the rights of blacks to vote, and remained active in the Underground Railroad. In 1849, the University of Heidelberg awarded Pennington a Doctor of Divinity in honor of his achievements."
Jacob and Hannah Leverton House,2005,10MD03,Site,Station,,,38.70358,-75.890853,3531 Seaman Road,Preston,Northeast,Maryland,21655-2412,Caroline,,1,,,N/A,No,No,No,USA,No,,,,Northeast,Wilbur Siebert,,Jacob Shaw,Hannah Leverton,No,"The nominated site was the home of Jacob and Hannah Leverton, Quakers. As agents of the Underground Railroad [UGRR], Jacob and Hannah Leverton sheltered freedom seekers. Near the division line between Caroline and Dorchester Counties, their first-quarter 19th century brick dwelling was located on several hundred contiguous acres of land. In 1898, William T. Kelley claimed that the Leverton home was ""the main stopping place for the UGRR in the area."" Jacob Leverton helped a battered young girl escape her pursuers before they appeared at his farm, demanding an explanation for her disappearance. In January 1858, after exposure of their UGRR activities, Jacob's son, Arthur, and free-black neighbor, Daniel Hubbard, had to flee their homes to evade retaliation by an angry mob. Kelley and his Quaker father, Jonah, described by his son as ""a strong anti-slavery man,"" harbored unnumbered refugees on Jonah's land composed of several hundred acres west and south of Leverton. During the 1840s and 1850s, free-blacks bought small farms along the north side of the road between the two counties. In effect, this area near Preston was a haven of a thousand acres stretching nearly a mile along the bi-county road, largely owned by people who were sympathetic to the riddance of institutionalized slavery."
W. W. Harwood Farm,2005,10MI01,Site,Station,,,42.194206,-83.710938,6356 Michigan Avenue,Ann Arbor,Midwest,Michigan,48108,Washtenaw,,15,,,N/A,No,No,No,USA,No,,,,Midwest,,,,"Asher Aray,Levi Coffin,Roswell Preston,William Webb Harwood",No,"The Saline Area Schools Board of Education approved a grant project called ""Crossroads of Freedom"" The Underground Railroad in Saline, Michigan Area, 2005."" It was funded by CARES, which supports projects related to cultural arts, recreation or enrichment."
Harriet's Return,2005,10NM01,Program,,,Public Program,40.760559,-73.9969,Karen Jones Meadows,New York,Northeast,New York,10036,New York,,1,,,N/A,No,No,Yes,USA,No,,,,Northeast,,,,"Harriet Tubman,William Still",No,"HARRIET'S RETURN is an award winning theatrical production written and performed by playwright, actress, producer and educator Karen Jones Meadows. This unique production chronicles the private and public life of famed Underground Railroad conductor, spiritual icon and revolutionary, Harriet Tubman, whose nine-decade life still influences the consciousness of people around the world. Told as a deeply personal journey, Harriet embraces her audience and moves them to laughter, tears and a desire to realize their personal power. The play takes the audience from Harriet's childhood to her final days as she weaves her story, recalling more than thirty colorful characters who take you from contemporary America into the depths of her soul, the psyche of a nation and a call to action. Detailed American and Underground Railroad history is experienced as Harriet confronts enslavement, family issues, escape, marriages, the UGRR challenges, Civil War, Reconstruction and Jim Crow. She interacts with historical figures such as William Still and John Brown. Harriet's Return has a successful record, with productions in over 100 theatrical and community venues, including a fund-raising event at the Carrier Theatre, for the 30th Anniversity Pilgrimage Weekend to the historic landmark Harriet Tubman home. Harriet's Return crosses age and cultural classifications, and has universal appeal, as did Harriet Tubman. Frequently there are Q , A or scholarly discussions after performances. Sometimes performances are followed by an ancestral party/celebration, making Harriet's Return an extraordinary event."
Cayuga County Courthouse,2005,10NY01,Site,Legal Challenge,,,42.930244,-76.569158,152 Genesee Street,Auburn,Northeast,New York,13021,Cayuga,,24,,,N/A,315-253-1273,No,Yes,USA,No,,,,Northeast,,,"Harriet Tubman,William ""Jerry"" Henry",,No,"As one of only two remaining courthouses in New York State in which trials relating to the successful 1851 rescue of freedom seeker William ""Jerry"" Henry were held, the Cayuga County Courthouse is one of the few surviving civic structures that reflects the struggle between the federal government's attempt to impose the Fugitive Slave Law of 1850 and public sentiment in opposition to this law in New York State. In 1846, the Cayuga County Courthouse was also the site of the precedent-setting trial of African American Wiliam Freeman, charged with murder and defended by William Henry Seward on the basis of insanity. Finally, the Cayuga County Courthouse has a 1913 plaque dedicated to Harriet Tubman. This 1836 Greek Revival structure maintains superior architectural integrity and stands today as a vibrant example of living history as it continues its role as Cayuga County's Supreme and County Court."
Cayuga County Historian's Office,2005,10NY02,Facility,,"Archive,Library,Research Center",,42.930165,-76.569445,"Historic Old Post Office Building, 3rd floor",Auburn,Northeast,New York,13021,Cayuga,,24,,,N/A,No,historian@co.cayuga.ny.us,Yes,USA,No,,,,Northeast,,,,,No,"The Cayuga County Historian's Office (CCHO) maintains one of the most comprehensive collections of printed and photographic material related to the Underground Railroad, Abolitionism and African American life at the county level anywhere in the U.S. Since 1969, CCHO has played an active role in satisfying the research efforts of historians and privte citizens alike. CCHO provides two major services to its patrons: 1.) Genealogical Research and 2.)General Subject Research. This research is conducted through the use of the facility's microfiche collection, library holdings, and subject and family files organized y clear indices. Material generated by a 2004-2005 survey of sites related to the Underground Railroad, Abolitionism, and African American life within Cayuga County (sponsored by the city of Auburn Historical Resources Review Board and the Cayuga County Historian's Office, coordinated by Historical New York Research Associates, funded by Preserve New York) will be available at CCHO. This research merits recognition by the National Park Service for its value to a greater understanding of the UGRR movement in Central New York."
David and Martha Wright House Site,2005,10NY03,Site,"Station,Commemorative Site/Monument",,,42.928233,-76.573149,192 Genesee Street,Auburn,Northeast,New York,13201,Cayuga,,24,,,N/A,No,No,Yes,USA,No,,,,Northeast,,,,"Frances Seward,Gerrit Smith,Harriet Tubman,Martha Wright,William Henry Seward",No,"Martha Wright, sister of Lucretia Mott, is best known as a woman's rights advocate, one of the organizers of the Seneca Falls woman's rights convention in 1848, but she was also an Underground Railroad supporter, part of the network affiliated with William H. and Frances Seward, Gerrit Smith, and Harriet Tubman in central New York. In letters to family members in 1843, 1857, and 1860, Wright presented detailed documentation of three Underground Railroad events she participated in, including her work in providing assistance for the seven people that Harriet Tubman rescued on her last trip into Maryland in 1860."
Howland Stone Store,2005,10NY04,Site,Station,,,42.761168,-76.621385,Box 124,Aurora,Northeast,New York,13026,Cayuga,,24,,,http://www.howlandstonestore.org/,No,No,Yes,USA,No,,,,Northeast,,,"Griger (Greger, Groger) (NY, c. 1840),Hannah Phillips,Herman Phillips,Jerome (Rome) (NY, c. 1840),Richard and Mary Gaskin,Thomas and James Hart","Emily Howland,Slocum Howland",No,"As the hub of Slocum Howland's widespread business dealings (which included tenant houses, farms, commercial operations, and warehouses and mills along lakefronts on Cayuga Lake at Levanna and Lake Ontario at Oswego), this store was also the center of Howland's extensive Underground Railroad network. Well-documented cases of freedom seekers associated with Slocum Howland include Thomas and James Hart (1840) and the Hannah and Herman Phillips family (1843). A rare Underground Railroad pass survives, carried by Thomas and James Hart on their trip from Maryland. Other possible freedom seekers assisted by Slocum Howland include Jerome (Rome) Griger (Greger, Groger). and the Richard and Mary Gaskin family. Beginning in 1857, Slocum Howland's daughter, Emily Howland, worked in a school kept by Myrtilla Miner for African American girls in Washington, D.C.. During and after the Civil War, she worked in Freedmen's Schools in the South, and she and her father established and supported black schools in Virginia throughout the nineteenth century. "
James Canning and Lydia Fuller House,2005,10NY05,Site,Station,,,42.944587,-76.439274,98 Genesee Street,Skaneateles,Northeast,New York,13152,Onondaga,,25,,,N/A,No,No,No,USA,No,,,,Northeast,,,"William ""Jerry"" Henry","James Canning Fuller,Jermain Loguen,Lydia Fuller",No,"In 1838, James Canning Fuller was secretary of the new Skaneateles Anti-Slavery Society, which sent anti-slavery petitions to Congress and adopted a resolution calling for immediate emancipation. In 1839, Fuller seconded an anti-slavery resolution not, he said, ""as a member of the Societies Friends [Society of Friends] but as a MAN."" In October of that year, the Colored American noted that he had been appointed by the New York State Anti-Slavery Society as a delegate to the World Anti-Slavery Convention to be held in London in 1840. In 1841, the Fullers hosted a family they had purchased from slavery. Also in 1841, James C. Fuller contributed $800 to purchase the Dawn Community near Chatham, Ontario, set up as a haven for freedom seekers, and he served on its first Board of Trustees. In 1843, Martha and David Wright sent a freedom seeker to the Fullers from Auburn. In 1851, after James C. Fuller's death, Lydia Fuller hosted Rev. Jermain Loguen when he fled Syracuse after the rescue of William ""Jerry"" Henry. When he returned to Syracuse in 1852, Loguen again stayed with Lydia Fuller."
Seymour Library,2005,10NY06,Facility,,Library,,42.928605,-76.571298,176-78 Genesee Street,Auburn,Northeast,New York,13021,Cayuga,,24,,,N/A,No,serskine@seymourlibrary.org,Yes,USA,No,,,,Northeast,,,,Harriet Tubman,No,"The Mary Van Sickle Wait History Room provides its patrons with one of the finest contemporary collections of material related to the Underground Railroad in Cayuga County. Recent publications on the life of Harriet Tubman exist alongside primary resources on life in nineteenth-century Auburn, New York. The 2004-2005 survey conducted by the city of Auburn and Historical New York Research Associates has provided the facility with countless property listings and census records of individuals living in Auburn, New York who escaped slavery to find asylum in Central New York. These records become living history when interpreted alongside maps of the region and biographies of influential members of the Underground Railroad movement. Resources at the Mary Van Sickle Wait History Room are tactile means by which visitors can recreate the cultural atmosphere of the Underground Railroad Movement and understand its broader implications on nineteenth-century American life."
Harriet's Return,2005,10NM01,Program,,,Performance,35.32869965,-106.439302,15 Trigo Road,Placitas,Pacific West,New Mexico,87043,Sandoval,,1,,,THEATRE ARTISTRY | Karen Jones Meadows,No,No,Yes,USA,No,N/a,,,Pacific West,,,,,No,"HARRIET'S RETURN is an award winning theatrical production written and performed by playwright, actress, producer and educator Karen Jones Meadows. This unique production chronicles the private and public life of famed Underground Railroad conductor, spiritual icon and revolutionary, Harriet Tubman, whose nine-decade life still influences the consciousness of people around the world. Told as a deeply personal journey, Harriet embraces her audience and moves them to laughter, tears, and a desire to realize their personal power.
The play takes the audience from Harriet's childhood to her final days as she weaves her story , recalling more than thirty colorful characters who take you from contemporary America into the depths of her soul, the psyche of a nation, and a call to action. Detailed American and Underground Railroad history is experienced as Harriet confronts enslavement, family issues, escape, marriages, the UGRR challenges, Civil War, Reconstruction and Jim Crow. She interacts with historical figures such as William Still and John Brown.
Harriet's Return has a successful record, with productions in over 100 theatrical and community venues including a fund raising event at The Carrier Theatre, for the 30th Anniversary Pilgrimage Weekend to The Historic Landmark Harriet Tubman Home.
Harriet's Return crosses age and cultural classifications, and has universal appeal, as did Harriet Tubman. Frequently there are Q&A or scholarly discussions after performances. Sometimes performances are followed by an ancestral party/celebration, making Harriet's Return an extraordinary event."
Mother Bethel AME Church,2005,10PA01,Site,Church w/ Active Congregation,,,39.943146,-75.151997,419 Richard Allen Ave,Philadelphia,Northeast,Pennsylvania,19147,Philadelphia,6th and Lombard Streets,1,,,https://www.visitphilly.com/things-to-do/attractions/mother-bethel-african-methodist-episcopal-ame-church/,No,No,Yes,USA,No,,,,Northeast,,,,Richard Allen,Yes,"Mother Bethel African Methodist Episcopal Church (Mother Bethel) was founded in Philadelphia in 1794 by Richard Allen. Allen had once been enslaved and understood the plight of those still held in bondage. Mother Bethel has been recognized as an abolitionist and an emancipationist church. Members were active with the Free African Society, a mutual aid society founded in 1787, known for assisting the enslaved on the UGRR. Members were also part of the local Vigilance Committee, Prince Hall Masons and Free Produce Association. The church was also the first to hold a national convention of Africans in 1830 and would later host many other abolitionist meetings and forums for many of the nation's great orators. Allen was a champion of the anti-slavery cause, and he became a spokesman for his people on both local and national issues. The bishops that followed in his footsteps would go on to establish churches and educational institutions within the United States, Europe, Africa, the Caribbean, and Canada."
Pearl Affair Site,2006,11DC01,Site,Escape,,,38.919851,-77.03722,"7th & Water Streets, SW",Washington,National Capital,DC,20000,Washington D.C.,,N/A,,,N/A,No,No,Yes,USA,No,,,,National Capital,"Bruin & Hill of Alexandria (Slave Trader),Daniel Drayton (Captain),Edward Sayres (Captain),Hope Slatter (Slave Trader),John Hale (Politician),Joshua Giddings (Politician)",,"Ellen Seward,The Edmonsons (DC, 1848)",,No,"At Seventh , Water Streets, SW, in Washington, DC, there is now a Southwest Heritage Trail Marker.Itrepresents the site of departure of The Pearl as part of Cultural Tourism DC's efforts to document the city's history. In 1848 there occurred a large and celebrated attempted escape of bondsmenon a ship The Pearl, sailing down the Potomac River for Frenchtown, Maryland. The ship started from the steamship wharf. Over 70 freedom seekers were on board. The plan had been to dock at Frenchtown and travel north. Free and hired-out enslaved workers in DC planned the escape with the connivance and support of white abolitionists. Unfortunately, the attempt failed. Many freedom seekers involved were purchased by slave traders, like Hope Slatter of Baltimore and Bruin , Hill of Alexandria, for sale further south. A few lucky freedom seekers were redeemed and returned to DC, like the Edmonsons and Ellen Seward. The ship's two captains, Edward Sayres and Daniel Drayton, were convicted, fined, and sentenced to jail until receiving a post-Civil War pardon."
Auburn Avenue Research Library,2006,11GA01,Facility,,"Archive,Library",,33.755533,-84.383922,101 Auburn Avenue,Atlanta,Southeast,Georgia,30303,Fulton,,5,,,N/A,No,No,Yes,USA,No,,,,Southeast,,,,,No,"The Auburn Avenue Research Library on African American Culture and History (AARL)is a special library of the Atlanta-Fulton County Library System. Founded in 1921, the AARL archival materials include materials that document the Underground Railroad in the U.S. and Caribbean. Of special interest are specific sets within the collection including the Jennifer Moxon set, items published in Frank Leslie's ""Illustrated Newspaper"", and items printed in ""Harper's Weekly"". The ""Black Abolitionist Papers"", published between 1830 and 1865, include letters, speeches, editorials, articles, sermons, and essays drawn from antebellum newspapers from Europe, Canada, and the U.S."
"Hiram Rutherford, Dr., House",2006,11IL01,Site,Legal Challenge,,,39.653887,-88.027304,PO Box 84,Oakland,Midwest,Illinois,61943,Coles,,15,,,N/A,No,No,Yes,USA,No,,,,Midwest,"Abraham Lincoln (Lawyer),General Robert Matson (Owner)",,Jane Bryant,"Anthony Bryant (Overseer),Dr. Hiram Rutherford,Gideon Ashmore",No,"Dr. Hiram Rutherford built his two story frame house off the square in Oakland in 1847. This building forms the core of the Oakland Landmarks, Inc. historic compound. Dr. Rutherford, Gideon Ashmore a local hotel tavern owner, General Robert Matson a slave owner from Kentucky with a farm north of Oakland, and Abraham Lincoln became involved in the Matson Slave Trial in 1847. Each spring Matson would bring some of his slaves to Illinois to work his Illinois farm and then take them back to Kentucky in the fall after the crops were harvested. One family fearing the wife and children would be sold when they returned to Kentucky fled and sought shelter with well known abolitionists Rutherford and Ashmore. Matson filed a suit against Rutherford and Ashmore in the circuit court under the Black Law, demanding damages in the sum of twenty-five hundred dollars, or five hundred dollars for each slave. This trial became known as the Matson Slave Trial and has been called one of the top 5 Legal Cases in Coles County between 1830-1900. The case was heard in Circuit Court in Charleston in October. The case hinged on the concept that if the slaves were only crossing the state (in transit) they would not be free but if they were located for a time by the consent of the master they would be free. Rutherford and Ashmore won, the slaves were freed, and Matson left town without paying his bills (which included Lincoln's fee)."
Decatur County Court House,2006,11IN01,Site,"Legal Challenge,Escape,Rescue",,,39.337132,-85.484167,150 Court House Square,Greensburg,Midwest,Indiana,47240,Decatur,,6,,,N/A,No,No,Yes,USA,No,,,,Midwest,"George Ray (Owner),Woodson Clark (Slave Catcher)",,"Caroline (IN, 1847)",Luther Donnell,No,"In 1847, Caroline and her children escaped from owner George Ray of Trimble County, Kentucky, and made their way to Decatur County, Indiana where a series of events resulted in the arrest of Luther Donnell for aiding their escape. When the family reached Decatur County, Woodson Clark captured the family and confined them until he could arrange transportation south. The African American community enlisted the help of Luther Donnell, who worked to obtain a writ of habeas corpus to take possession of the family. Eventually the family was located and assisted via the Underground Railroad, by both the African American and White community, to Canada. Donnell was arrested under Indiana law and indicted for ""aiding Negroes to escape."" The jury found him guilty. Then Ray brought suite in the US court for the recovery of the value of his slaves. He obtained a judgment of $3000 ($1500 for the value of the individuals plus court costs). In 1852, the Indiana Supreme Court overturned the criminal case verdict based on judicial error, that the Indiana law under which Donnell was prosecuted was unconstitutional."
Freedom is My Home,2006,11IN02,Program,,,Performance,39.202897,-85.922448,P.O. Box 2281,Columbus,Midwest,Indiana,47202,Bartholomew,,9,Quaker,,N/A,No,No,Yes,USA,No,,,,Midwest,,,,,No,"Freedom Is My Home brings about a new way of looking at the Underground Railroad €œ from the view of a woman and her personal stories of serving as a conductor. The one-woman play shows the perspective of a woman who did not condone slavery and felt the courage to do something about it, even though danger was evident. The play contains real stories of daring escapes and the friendships born in the course of aiding fugitives, examines alternative methods of communication, and delves into the strength, courage, and determination needed by all participants. This play shares one Quaker woman's story, what brought her to this place, her emotional encounters with the pursued and the pursuers, and why she continued to ask, ""Can we standby and let this happen?"""
Isaiah Walton House Site,2006,11IN03,Site,Station,,,38.831763,-85.517449,6927 W. State Road 250,Madison,Midwest,Indiana,47250,Jefferson,Farm Land Today North East of Eleutherian College,9,,,N/A,No,eleutherian@eleutherian.us,No,USA,No,,,,Midwest,,Neil's Creek Anti-Slavery Society,,"Eliza Walton,George DeBaptiste,Isaiah Walton,John H. Tibbets",No,"Isaiah Walton was an Underground Railroad Conductor in Lancaster, IN. Abraham Walton Sr., Isaiah's father, was living with his family in southern Indiana by 1820. The Walton families helped start Historic Eleutherian College. Isaiah Walton and John H. Tibbets served on ""The Educational Society"", which operated Eleutherian College. The plat map shows John H. Tibbets property and Isaiah Waltons property touching. Isaiah Walton and his wife Eliza joined the Anti-Slavery Baptist Church in 1847. This Anti-Slavery Baptist Church was the owner of Eleutherian College and worshiped in the Chapel of the college building. Isaiah Walton was a member of the Neils Creek Anti-Slavery Society that operated in Lancaster Township of Jefferson County from 1839 to 1845."
"Jane C. Sween Library, Montgomery Co. Historical Society",2006,11MD01,Facility,,"Archive,Library",,38.620636,-75.925644,111 West Montgomery Avenue,Rockville,National Capital,Maryland,20850,Montgomery,,8,,,http://www.montgomeryhistory.org,No,No,Yes,USA,No,,,,National Capital,,,,,No,"The Mountgomery County Historical Society's (MCHS) Jane C. Sween Library serves as a repository for government and family records and a research facility for private and public researchers. MCHS government and family records include materials that are invaluable for understanding the history of the Underground Railroad (UGRR) in Montgomery Co. and MD, and they also serve as important sources for state and local African-American history. County antebellum tax lists, probate records, and census records reveal much about the patterns of slaveholding in Montgomery Co. and establish social and cultural context for UGRR. The MCHS collection of county newspapers record fugitive slave notices, sales of bondsmen, and other related information. Local African-American authors and genealogists have provided books, manuscripts, and oral histories which enhance the collections. MCHS has used these sources to create a teaching unit on UGRR for 5th and 6th graders. The library is open to the public and research assistance is avaialable through www.montgomeryhistory.org. The print collections are indexed and available through the public library's online catalogue."
Harriet Tubman Byway,2006,11MD02,Program,,,Tour,38.57059,-76.064399,Harriet Tubman Byway,Cambridge,Northeast,Maryland,21613,Dorchester,Dorchester and Caroline Counties,1,,,N/A,No,No,Yes,USA,No,,,,Northeast,,,Harriet Tubman,Harriet Tubman,No,"Finding A Way To Freedom: The Underground Railroad in Dorchester and Caroline Counties in the 1850s, is a 105 mile self-guided driving tour, which takes visitors on a journey through nationally significant stories and landscapes associated with the life of the great Underground Railroad conductor, Harriet Tubman, and places associated with the Underground movement in Dorchester and Caroline counties on the Eastern Shore of Maryland. Finding a Way to Freedom guides people to exhibits, homes and home sites, meeting houses, mills, courthouses, roads, churches, wharves, waterways, fields, forests, and other significant landscapes that relate to and illustrate the real life stories of the region's own specific Underground Railroad, including the people who used it, operated it, and the those who sought to destroy it in the decade leading up to the Civil War. The tour guides visitors through a variety of natural environments that were both barriers and pathways to freedom. Through well documented stories and sites, the Finding A Way to Freedom tour helps visitors learn about the URR, Harriet Tubman, resistance to slavery, and African American history in the region, and discover how ordinary people in a southern slaveholding community faced extraordinary challenges to help others secure their freedom"
M'Clintock House,2006,11NY01,Site,Station,,,42.905593,-76.861677,Women's Rights NHP,Waterloo,Northeast,New York,13165,Seneca,,24,,,N/A,315-568-2179,anne_derousie@nps.gov,Yes,USA,Yes,Women's Rights NHP,WORI,,Northeast,Sarah M'Clintock,,"Jermain Loguen,William ""Jerry"" Henry","Abby Kelley Foster,Frederick Douglass,Lucretia Mott,William Lloyd Garrison",Yes,"After the successful October 1851 rescue of freedom seeker William Henry in Syracuse, New York rescue leader, black abolitionist and former freedom seeker, Jermaine Loguen, took refuge in the M'Clintock house in Waterloo, NY. The M'Clintock family of radical Hicksite Quakers lived in the house from 1836-1856. During that time they helped organize the Western New York Anti-Slavery Society, held anti-slavery fairs, led anti-slavery petition drives and sold goods ""free from the labor of slaves."" They often entertained abolitionist leaders including William Lloyd Garrison, Frederick Douglass, Lucretia Mott and Abby Kelley Foster. Thomas and Mary Ann M'Clintock married in 1820 and lived in Philadelphia. They were key supporters of the Hicksite split from Orthodox Quakerism in 1827, and the formation of the American Anti-Slavery Society and the Philadelphia Female Anti-Slavery Society in 1833. Thomas was a founder of the Free Produce Society. An eyewitness places Jermain Loguen in the M'Clintock home one night in 1851 where, armed, he nervously paced back and forth ready to protect his freedom as he made his way to Canada. M'Clintock house, is now part of Women's Rights National Historical Park."
Park Church,2006,11NY02,Site,Church w/ Active Congregation,,,42.088776,-76.8087,208 West Gray Street,Elmira,Northeast,New York,14901,Chemung,,29,Congregational,,N/A,607-733-9104,office@theparkchurch.org,Yes,USA,No,,,,Northeast,,,John Jones,Augustus Holt,No,"In 1844 before a new church was considered, future members of this new church were already at work helping fugitive slaves escape to freedom. These members wanted to have their church on record as being an anti-slavery church. They prepared a petition for this proposal and the petition was tabled. A committee was formed and meetings were held to discuss forming a new church. On Jan 2, 1846, forty-one people asked for letters of dismissal and on Jan 3, 1846 the first meeting of the new church took place. Members sheltered fugitive slaves, provided food and finances, and took legal action against slavery. This church was originally named the First Independent Congregational Church of Elmira. In 1871 on the twenty-fifth anniversary of the church, it was renamed the Park Church."
